epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2286.3,0.49809,0.35879,1.0268,0.98462,0.98816,0.9943,0.92672,0.4339,0.24093,0.87172,0.000676802,0.000676802,0.000676802
122,2305.23,0.50253,0.37357,1.02976,0.98759,0.9926,0.99448,0.9235,0.4442,0.23558,0.87432,0.00066855,0.00066855,0.00066855
123,2324.1,0.49066,0.35428,1.02123,0.9903,0.98578,0.99393,0.92357,0.43873,0.23118,0.87754,0.000660299,0.000660299,0.000660299
124,2342.93,0.48816,0.34853,1.02791,0.99117,0.98898,0.99435,0.92768,0.42645,0.22971,0.86786,0.000652047,0.000652047,0.000652047
125,2361.85,0.49602,0.36328,1.02688,0.98803,0.99053,0.9944,0.91969,0.44538,0.22921,0.87308,0.000643795,0.000643795,0.000643795
126,2380.67,0.49508,0.36479,1.02839,0.99297,0.98946,0.99427,0.92195,0.45272,0.22897,0.87911,0.000635544,0.000635544,0.000635544
127,2399.48,0.48712,0.35117,1.02556,0.98802,0.98946,0.99432,0.92014,0.45855,0.2316,0.88119,0.000627292,0.000627292,0.000627292
128,2418.31,0.49078,0.35528,1.02429,0.98971,0.98527,0.99433,0.9258,0.44578,0.22755,0.88377,0.00061904,0.00061904,0.00061904
129,2437.12,0.48431,0.35831,1.02148,0.99072,0.98519,0.99361,0.92304,0.44685,0.23484,0.87704,0.000610789,0.000610789,0.000610789
130,2455.94,0.47983,0.34545,1.01526,0.99184,0.98972,0.9943,0.926,0.44189,0.22414,0.87797,0.000602537,0.000602537,0.000602537
131,2474.75,0.47723,0.35257,1.01693,0.98855,0.99276,0.99452,0.92822,0.43636,0.2277,0.87322,0.000594286,0.000594286,0.000594286
132,2493.69,0.46265,0.33369,1.0061,0.99252,0.98553,0.99427,0.92343,0.4398,0.2305,0.86914,0.000586034,0.000586034,0.000586034
133,2512.5,0.47077,0.34315,1.01396,0.9888,0.99086,0.99439,0.92542,0.43127,0.22515,0.87298,0.000577782,0.000577782,0.000577782
134,2531.32,0.47671,0.34551,1.01184,0.9912,0.98781,0.99359,0.92672,0.4274,0.22625,0.87556,0.000569531,0.000569531,0.000569531
135,2550.13,0.47073,0.33873,1.01059,0.98108,0.98893,0.99304,0.9271,0.42587,0.2262,0.87059,0.000561279,0.000561279,0.000561279
136,2568.98,0.47941,0.33796,1.01745,0.98658,0.98499,0.99411,0.92835,0.41859,0.22473,0.85971,0.000553027,0.000553027,0.000553027
137,2587.91,0.46197,0.32855,1.00645,0.98063,0.98734,0.994,0.92932,0.40784,0.2303,0.86205,0.000544776,0.000544776,0.000544776
138,2606.86,0.48104,0.34608,1.01954,0.99156,0.98474,0.99396,0.93047,0.41216,0.22082,0.86633,0.000536524,0.000536524,0.000536524
139,2625.76,0.45869,0.33706,1.00191,0.99238,0.99273,0.99429,0.92954,0.4151,0.21735,0.86468,0.000528272,0.000528272,0.000528272
140,2644.61,0.45312,0.33324,1.00458,0.99321,0.9924,0.99432,0.93146,0.41311,0.21755,0.86781,0.000520021,0.000520021,0.000520021
141,2663.53,0.45879,0.33348,1.00685,0.99161,0.99111,0.99413,0.93123,0.41214,0.22162,0.85945,0.000511769,0.000511769,0.000511769
142,2682.38,0.46549,0.33198,1.01018,0.99047,0.99111,0.99456,0.92791,0.42334,0.22293,0.86147,0.000503517,0.000503517,0.000503517
143,2701.21,0.46787,0.34506,1.01111,0.99389,0.99053,0.99422,0.92984,0.41439,0.22078,0.85588,0.000495266,0.000495266,0.000495266
144,2720.02,0.45742,0.33798,1.00218,0.99526,0.99262,0.99415,0.93147,0.41803,0.21547,0.86743,0.000487014,0.000487014,0.000487014
145,2738.94,0.45783,0.33335,1.0034,0.99353,0.99215,0.99448,0.92847,0.41403,0.21362,0.85897,0.000478762,0.000478762,0.000478762
146,2757.77,0.44378,0.32292,0.99632,0.99353,0.99276,0.99432,0.92746,0.41876,0.21952,0.86042,0.000470511,0.000470511,0.000470511
147,2776.58,0.44361,0.31895,0.99362,0.99046,0.99093,0.99422,0.93152,0.40694,0.21349,0.85605,0.000462259,0.000462259,0.000462259
148,2795.53,0.45069,0.32156,0.99731,0.9906,0.99111,0.99385,0.93085,0.40496,0.21815,0.86342,0.000454007,0.000454007,0.000454007
149,2814.34,0.444,0.32072,0.99995,0.99033,0.99111,0.99451,0.93602,0.39934,0.21299,0.86024,0.000445756,0.000445756,0.000445756
150,2833.24,0.44395,0.32382,0.99558,0.99243,0.99075,0.99447,0.9359,0.41448,0.21374,0.86261,0.000437504,0.000437504,0.000437504
151,2852.06,0.43489,0.31919,0.99516,0.99187,0.99075,0.99432,0.93705,0.41202,0.21459,0.87094,0.000429253,0.000429253,0.000429253
152,2870.99,0.43769,0.31549,0.99188,0.99219,0.989,0.99415,0.93476,0.39743,0.21029,0.8566,0.000421001,0.000421001,0.000421001
